SAG	Sample	Sample feature	FACS mode	Estimated cell diameter (μm)	WGA-X Cp (h)	Raw read count	Assembly size (bp)	Final contigs count	Max contig length	GC content (%)	Genome completeness (%)	Estimated genome size (Mbp)	SSU contig	SSU classification CREST/SILVA	Screened 16S Crest/SILVA	Lineage	Phylum	PUFA	acyl_amino_acids	arylpolyene	bacteriocin	bacteriocin.nrps	bacteriocin.terpene	ectoine	hserlactone	ladderane	lantipeptide	lantipeptide.nrps	lassopeptide	microcin	nrps	nucleoside	other	otherks	otherks.butyrolactone.nrps	phosphonate	phosphonate.t3pks.terpene	phosphonate.terpene	resorcinol	siderophore	t1pks	t1pks.PUFA	t1pks.PUFA.otherks	t1pks.nrps	t1pks.otherks	t3pks	t3pks.terpene	terpene	transatpks
AG-333-G23	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.4659	6,782,612	1,070,993	15	339,662	32	78	1.37	AG-333-G23_NODE_6 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-333-M17	SWC-04	DCM, <1% PAR	Syto9-Prok	<0.5	1.7396	2,907,490	942,367	30	132,546	33	68	1.39	AG-333-M17_NODE_5 (1506 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-337-K14	SWC-05	Mixed layer, 50% PAR	Syto9-Prok	<0.5	1.7875	3,475,621	879,485	24	230,953	32	59	1.49	AG-337-K14_NODE_5 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-337-M20	SWC-05	Mixed layer, 50% PAR	Syto9-Prok	<0.5	1.9300	3,533,892	661,908	42	79,159	33	41	NA	AG-337-M20_NODE_15 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-343-C03	SWC-06	DCM, only 3% of Pro detected by qPCR	Syto9-Prok	<0.5	1.6739	2,100,004	960,207	27	119,131	32	72	1.33	AG-343-C03_NODE_6 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-343-C08	SWC-06	DCM, only 3% of Pro detected by qPCR	Syto9-Prok	<0.5	1.7499	2,244,274	864,778	39	95,724	32	65	1.33	AG-343-C08_NODE_1 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-343-K18	SWC-06	DCM, only 3% of Pro detected by qPCR	Syto9-Prok	<0.5	2.7980	240,644	393,793	35	32,624	31	30	NA	AG-343-K18_NODE_9 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-343-N10	SWC-06	DCM, only 3% of Pro detected by qPCR	Syto9-Prok	<0.5	1.8757	2,858,151	760,424	29	152,534	32	49	NA	AG-343-N10_NODE_19 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-343-O04	SWC-06	DCM, only 3% of Pro detected by qPCR	Syto9-Prok	<0.5	1.7200	3,401,216	979,545	13	388,731	32	77	1.27	AG-343-O04_NODE_2 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-343-P09	SWC-06	DCM, only 3% of Pro detected by qPCR	Syto9-Prok	<0.5	2.3360	218,744	445,549	35	74,388	33	39	NA	AG-343-P09_NODE_3 (645 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-349-A01	SWC-07	HOT Mixed Layer ~25% narB	Syto9-Prok	<0.5	1.4942	4,052,848	909,622	30	234,961	33	55	1.65	AG-349-A01_NODE_9 (1505 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-349-C02	SWC-07	HOT Mixed Layer ~25% narB	Syto9-Prok	<0.5	1.2790	2,888,433	991,382	18	172,867	32	71	1.4	AG-349-C02_NODE_1 (1508 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-349-C17	SWC-07	HOT Mixed Layer ~25% narB	Syto9-Prok	<0.5	1.4781	3,742,381	688,555	23	98,469	32	34	NA	AG-349-C17_NODE_7 (989 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-349-J05	SWC-07	HOT Mixed Layer ~25% narB	Syto9-Prok	<0.5	1.6990	233,364	300,268	29	90,243	33	40	NA	AG-349-J05_NODE_2 (1506 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-359-A10	SWC-09	BATS Mixed Layer ~20% narB	Syto9-Prok	<0.5	1.8014	1,523,842	902,096	24	167,115	32	50	1.8	AG-359-A10_NODE_3 (1491 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-359-K22	SWC-09	BATS Mixed Layer ~20% narB	Syto9-Prok	<0.5	1.6256	5,874,590	1,055,075	15	415,222	32	71	1.49	AG-359-K22_NODE_1 (1491 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-359-N14	SWC-09	BATS Mixed Layer ~20% narB	Syto9-Prok	<0.5	1.9291	1,839,765	959,793	29	161,517	32	68	1.41	AG-359-N14_NODE_15 (1491 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-359-P15	SWC-09	BATS Mixed Layer ~20% narB	Syto9-Prok	<0.5	1.7309	6,103,361	902,702	21	180,668	32	60	1.5	AG-359-P15_NODE_10 (1491 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-360-D02	SWC-09	BATS Mixed Layer ~20% narB	Syto9-Prok	NA	2.1482	2,012,594	632,646	47	69,326	33	38	NA	AG-360-D02_NODE_24 (1505 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-360-L09	SWC-09	BATS Mixed Layer ~20% narB	Syto9-Prok	NA	2.0111	1,773,104	857,161	28	125,997	32	53	1.62	AG-360-L09_NODE_3 (1491 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-365-C09	SWC-10	BATS DCM region >30% narB	Syto9-Prok	<0.5	1.7517	2,614,055	636,024	62	60,819	32	44	NA	AG-365-C09_NODE_3 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-365-D04	SWC-10	BATS DCM region >30% narB	Syto9-Prok	<0.5	1.7596	3,007,086	666,248	53	87,384	33	41	NA	AG-365-D04_NODE_37 (656 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-365-D22	SWC-10	BATS DCM region >30% narB	Syto9-Prok	<0.5	1.8548	3,174,403	559,647	34	74,135	32	63	0.89	AG-365-D22_NODE_4 (1056 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-365-E08	SWC-10	BATS DCM region >30% narB	Syto9-Prok	<0.5	1.7902	2,797,102	513,982	43	56,187	32	39	NA	AG-365-E08_NODE_4 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-365-M22	SWC-10	BATS DCM region >30% narB	Syto9-Prok	<0.5	1.7802	3,253,694	723,069	34	80,072	32	43	NA	AG-365-M22_NODE_9 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-365-N16	SWC-10	BATS DCM region >30% narB	Syto9-Prok	<0.5	1.7143	2,976,768	851,977	51	65,431	32	54	1.58	AG-365-N16_NODE_24 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-390-E09	SWC-11	Northern edge of Sargasso Sea	Syto9-Prok	<0.5	1.4143	3,206,915	1,034,186	26	291,907	32	75	1.38	AG-390-E09_NODE_5 (1498 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-390-G07	SWC-11	Northern edge of Sargasso Sea	Syto9-Prok	<0.5	1.6729	397,135	581,502	34	80,708	32	48	NA	AG-390-G07_NODE_5 (1505 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-390-K15	SWC-11	Northern edge of Sargasso Sea	Syto9-Prok	<0.5	2.4158	423,764	724,191	34	173,291	33	37	NA	AG-390-K15_NODE_13 (1499 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-390-L05	SWC-11	Northern edge of Sargasso Sea	Syto9-Prok	<0.5	2.2007	599,499	510,522	37	54,856	33	30	NA	AG-390-L05_NODE_27 (593 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
