SAG	Sample	Sample feature	FACS mode	Estimated cell diameter (μm)	WGA-X Cp (h)	Raw read count	Assembly size (bp)	Final contigs count	Max contig length	GC content (%)	Genome completeness (%)	Estimated genome size (Mbp)	SSU contig	SSU classification CREST/SILVA	Screened 16S Crest/SILVA	Lineage	Phylum	PUFA	acyl_amino_acids	arylpolyene	bacteriocin	bacteriocin.nrps	bacteriocin.terpene	ectoine	hserlactone	ladderane	lantipeptide	lantipeptide.nrps	lassopeptide	microcin	nrps	nucleoside	other	otherks	otherks.butyrolactone.nrps	phosphonate	phosphonate.t3pks.terpene	phosphonate.terpene	resorcinol	siderophore	t1pks	t1pks.PUFA	t1pks.PUFA.otherks	t1pks.nrps	t1pks.otherks	t3pks	t3pks.terpene	terpene	transatpks
AG-313-C05	SWC-01	Oxygenated surface water	Syto9-Prok	0.98	1.4302	3,868,013	1,429,042	72	153,562	34	42	NA	AG-313-C05_NODE_40 (1502 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroserpens;s__?	NA	Other	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AG-313-C08	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.3983	3,390,073	902,589	33	124,203	34	56	1.61	AG-313-C08_NODE_4 (1519 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	NA	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-C18	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4346	3,658,252	893,122	35	128,600	32	57	1.57	AG-313-C18_NODE_3 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-D02	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4306	3,019,046	1,081,594	48	137,119	34	57	1.9	AG-313-D02_NODE_34 (1316 bp)	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	SAR86	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-D08	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.3727	3,178,981	1,648,056	25	260,213	37	90	1.83	AG-313-D08_NODE_5 (1533 bp)	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__ZD0405;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__?;g__?;s__?	ZD0405	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-D09	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5216	3,398,433	778,331	49	69,766	33	61	1.28	AG-313-D09_NODE_7 (1450 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_4;g__?;s__?	SAR11_Surface4	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-D11	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.3872	12,610,703	1,301,831	22	345,024	36	56	2.32	AG-313-D11_NODE_1 (1508 bp)	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	SAR86	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-D16	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.6607	3,471,942	492,405	54	48,011	29	24	NA	AG-313-D16_NODE_13 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-D18	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.7473	543,426	482,379	50	52,531	29	38	NA	AG-313-D18_NODE_2 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-E09	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.7475	614,842	176,828	40	10,370	29	8	NA	AG-313-E09_NODE_6 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-E13	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4139	3,356,026	1,271,886	53	166,971	30	68	1.87	AG-313-E13_NODE_15 (1502 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	NS2b	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-F06	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.3220	3,397,707	2,045,537	79	273,420	40	73	2.8	AG-313-F06_NODE_1 (1438 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__?;s__?	Rhodobacteraceae_Unclass	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-F09	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.8990	548,157	156,533	29	11,622	30	0	NA	AG-313-F09_NODE_19 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-F11	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4034	3,679,292	1,247,281	63	107,968	30	68	1.83	AG-313-F11_NODE_8 (1514 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	NS2b	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-F17	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.6092	4,436,955	807,385	67	76,289	28	45	NA	AG-313-F17_NODE_33 (1525 bp)	k__Bacteria;p__Marinimicrobia_(SAR406_clade);c__?;o__?;f__?;g__?;s__?	NA	Marinimicrobia	Marinimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-F20	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5083	3,450,924	746,747	49	50,022	30	46	NA	AG-313-F20_NODE_10 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-G06	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.6447	3,805,645	606,539	68	53,628	29	38	NA	AG-313-G06_NODE_3 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-G08	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5032	3,261,266	977,684	53	116,517	30	58	1.69	AG-313-G08_NODE_14 (1494 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group;s__?	NS5	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AG-313-G17	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.7815	418,704	377,975	44	28,777	29	27	NA	AG-313-G17_NODE_10 (1448 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-I08	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4737	3,267,852	1,231,187	44	114,872	31	61	2.02	AG-313-I08_NODE_9 (1501 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS2b_marine_group;s__?	NS2b	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-I14	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4902	4,496,944	1,115,546	63	99,320	30	53	2.1	AG-313-I14_NODE_24 (1509 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	NS4	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AG-313-I16	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.8476	408,126	284,258	39	19,105	30	29	NA	AG-313-I16_NODE_17 (1467 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-I18	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5158	3,873,680	584,510	43	52,161	29	55	1.06	AG-313-I18_NODE_4 (1473 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-J08	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.8315	382,991	478,703	55	54,039	32	18	NA	AG-313-J08_NODE_18 (1467 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SAR116_clade;g__?;s__?	SAR116	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-J10	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4439	3,133,817	1,495,280	47	154,046	30	74	2.02	AG-313-J10_NODE_3 (1509 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	NS4	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-J22	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.3676	4,832,680	1,287,161	57	102,414	30	68	1.89	AG-313-J22_NODE_6 (1509 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	NS4	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AG-313-K16	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5316	3,096,383	2,199,285	138	145,949	39	57	3.86	AG-313-K16_NODE_3 (1508 bp)	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__?;s__?	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__?;s__?	Other	Verrucomicrobia	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-K23	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.7114	338,898	100,660	7	38,095	31	0	NA	AG-313-K23_NODE_1 (1465 bp)	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Synechococcales;f__Synechococcaceae;g__Prochlorococcus;s__?	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Synechococcales;f__Synechococcaceae;g__?;s__?	Prochlorococcus	Cyanobacteria	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L05	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.6626	3,273,549	1,550,842	51	147,962	30	77	2.01	AG-313-L05_NODE_7 (1509 bp)	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS4_marine_group;s__?	NS4	Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AG-313-L09	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.7298	477,388	404,900	34	65,839	30	23	NA	AG-313-L09_NODE_6 (1467 bp)	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	SAR11_Surface1	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L10	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5726	3,533,699	1,132,170	47	106,604	36	53	2.14	AG-313-L10_NODE_19 (1508 bp)	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	SAR86	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L14	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.5859	3,535,192	981,936	32	115,230	32	67	1.47	AG-313-L14_NODE_6 (1507 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L16	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4338	3,793,418	1,010,970	68	76,832	43	32	NA	AG-313-L16_NODE_2 (1507 bp)	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Porticoccaceae;g__SAR92_clade;s__?	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Porticoccaceae;g__SAR92_clade;s__?	SAR92	Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AG-313-L18	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4065	3,619,702	1,302,349	35	190,461	39	69	1.89	AG-313-L18_NODE_1 (1444 bp)	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Marine_Group_II;f__?;g__?;s__?	NA	MGII	Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AG-313-L19	SWC-01	Oxygenated surface water	Syto9-Prok	<0.5	1.4760	3,462,229	810,433	37	87,097	34	61	1.33	AG-313-L19_NODE_1 (1519 bp)	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OM1_clade;g__Candidatus_Actinomarina;s__?	ActinomarinaOM1	Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
